Date,SP500Price,USDCADPrice,Close,Volume,CPI,EPS,PE
12/30/2022,3839.5,1.3549,127.300003,3545800,153.1,1.83,69.56284317
12/29/2022,3849.28,1.3546,128.660004,3256100,153.1,1.83,70.30601311
12/28/2022,3783.22,1.3608,127.709999,3163800,153.1,1.83,69.7868847
12/23/2022,3844.82,1.3598,128.279999,2134600,153.1,1.83,70.09836011
12/22/2022,3822.39,1.3646,127.730003,2441100,153.1,1.83,69.79781585
12/21/2022,3878.44,1.3609,128.669998,2183800,153.1,1.83,70.31147432
12/20/2022,3821.62,1.3609,127.5,3750500,153.1,1.83,69.67213115
12/19/2022,3817.66,1.3642,126.760002,2569100,153.1,1.83,69.26776066
12/16/2022,3852.36,1.37,127.959999,6758500,153.1,1.83,69.92349672
12/15/2022,3895.75,1.3658,128.220001,1972700,153.1,1.83,70.06557432
12/14/2022,3995.32,1.3548,129.419998,1800800,153.1,1.83,70.72131038
12/13/2022,4019.65,1.3549,130.160004,3958300,153.1,1.83,71.12568525
12/12/2022,3990.56,1.3635,132.130005,3034000,153.1,1.83,72.20218852
12/9/2022,3934.38,1.365,130.910004,1238500,153.1,1.83,71.53552131
12/8/2022,3963.51,1.3595,131.289993,1869700,153.1,1.83,71.74316557
12/7/2022,3933.92,1.3651,131.889999,1648300,153.1,1.83,72.0710377
12/6/2022,3941.26,1.3651,132.279999,1888400,153.1,1.83,72.28415246
12/5/2022,3998.84,1.3588,133.679993,3049100,153.1,1.83,73.0491765
12/2/2022,4071.7,1.3468,134.210007,1374200,153.1,1.83,73.33880164
12/1/2022,4076.57,1.3432,134.669998,2397100,153.1,1.83,73.59016284
11/30/2022,4080.11,1.3409,133.779999,5769800,154,1.83,73.10382459
11/29/2022,3957.63,1.3578,133.770004,2502900,154,1.83,73.09836284
11/28/2022,3963.94,1.3497,133.210007,2548100,154,1.83,72.79235355
11/25/2022,4026.12,1.3377,134.809998,1751300,154,1.83,73.66666557
11/23/2022,4027.26,1.3351,134.690002,2627400,154,1.83,73.60109399
11/22/2022,4003.58,1.3375,134.830002,3876700,154,1.83,73.67759672
11/21/2022,3949.94,1.3447,132.949997,5381700,154,1.83,72.65027158
11/18/2022,3965.34,1.3384,132.699997,2217000,154,1.83,72.51365956
11/17/2022,3946.56,1.3326,132.320007,3388300,154,1.83,72.30601475
11/16/2022,3958.79,1.3327,131.520004,5651000,154,1.83,71.86885464
11/15/2022,3991.73,1.3277,131.779999,2438800,154,1.83,72.01092842
11/14/2022,3957.25,1.3311,131.660004,5177700,154,1.83,71.94535738
11/11/2022,3992.93,1.3254,131.679993,2619800,154,1.83,71.95628033
11/10/2022,3956.37,1.3318,130.889999,3747100,154,1.83,71.52458962
11/9/2022,3748.57,1.3526,127.870003,2348600,154,1.83,69.87431858
